Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
11297,"1. Choose from the garage.  
2. Reach the goal using the arrow.  
3. Use the steering wheel.  
4. Use the gas.  
5. Use the brake.","1. Choose a truck from the garage.  
2. Follow an arrow to reach a goal.  
3. Use a steering wheel, gas, and brake to play.","Real truck driving game is a game consisting of 4 trucks in total. You can start the game by choosing the truck you want from the garage. Follow the arrow at the top to reach the goal and complete the task. You can use the steering wheel, gas and brake on the screen to play the game.

Remember to give us your wishes and opinions so that we can offer you better games."
11602,"1. Know next destination in few clicks.  
2. Having a clear image about expectations.  
3. Share opinions or reviews.  
4. Help business owners advertise products.  
5. Provide statistical reference.  
6. Allow businesses to show excellence.  
7. Claim businesses for free.  
8. Register for free.  
9. Submit missed businesses for free.","1. Know the next destination in few clicks.
2. Share opinions or reviews.
3. Advertise for products.
4. Provide statistical reference.
5. Show business excellence to the public.
6. Claim businesses for free.
7. Register for free.
8. Submit missed businesses for free.","UAE's First & Most Trusted Review Directory, From People to People!

QAYYEM was founded in 2016. Before 2016, most people were struggling in UAE to find the right business to go to and business owners were consuming a lot of money in auditing their business and surveying the customers but from 2016 onwards, QAYYEM is available and it has two main goals. The first one is to help people in UAE to know their next destination in few clicks and having a clear image about what they may expect so why do you need to try different businesses in order to choose the best one of them while we can share our opinions or reviews in QAYYEM. The second goal is to help the business owners in advertising for their products, providing statistical reference, and allowing them to show their excellence to the public.

For the users, QAYYEM is a review-based website and for the business owners, it is an advertisement plan and statistical reference.

In QAYYEM, we believe in teamwork so every registered member is considered to be a member in QAYYEM family. That is why business owners can claim their businesses for free, users can register for free, their friends can also register for free, and even they can submit any business which is missed in QAYYEM for free in order to fill in the blanks which are in QAYYEM family database and this will help you or other family members to better be served in the future."
11886,"1. Stay up-to-date on top company and industry news.  
2. Share relevant content to your social channels.  
3. Receive push notifications for breaking news and announcements.  
4. Embark on your journey to becoming a social thought leader.","1. Stay up-to-date on top company and industry news  
2. Share relevant content to social channels  
3. Receive push notifications for breaking news and announcements  
4. Embark on journey to become social thought leader","Discover the most important content of the day, and share it with your colleagues, peers and friends.
Why you’ll love the E Ambassadors App:
- Stay up-to-date on top company and industry news in just 2 minutes per day
- Share relevant content to your social channels
- Receive push notifications for breaking news and announcements
- Embark on your journey to becoming a social thought leader
- Simple, productive, and rewarding"
12390,"1. Guide you through all there is to see and do in Sisters, Oregon.","1. Guide through attractions in Sisters, Oregon.  
2. Provide information on activities in Sisters, Oregon.","Sisters, Oregon is a modern western community that honors and preserves its history.  It is a safe community with an authentic village atmosphere, and a variety of public gathering places, that invites walking and cycling.  The surrounding natural environment provides a spectacular setting and exudes a deep connection between man and nature.
 
The Sisters Country app will guide you through all there is to see and do in Sisters, Oregon. Or – Welcome to Sisters Oregon where there is never nothing to do… unless nothing is all you want to do."
12992,"1. Create and customise application specific dashboards.  
2. Control multiple devices from one single application.  
3. Merge various device functions as widgets.  
4. Access dashboards from cloud-saved user accounts.  
5. Access dashboards from any mobile device.  
6. Use up to 5 simultaneous socket connections.","1. Create and customize application-specific dashboards.  
2. Control multiple devices from a single application.  
3. Merge device functions as widgets on one screen.  
4. Save user accounts in the cloud for dashboard access.  
5. Use up to 5 simultaneous socket connections.","Audac Touch is a total system control platform.
Using this freely available solution, application specific dashboards can be created and customised,
allowing the control for multiple devices from one single application. A variety of functions from different devices can be merged together as widgets in one single screen. Once configured, user accounts will be saved in the cloud allowing your dashboard to be accessed from any mobile device. Use up to 5 simultaneous socket connections to various supporting AUDAC devices, including all matrix systems and audio players."
13058,"1. Unparalleled look at Marquette Basketball.  
2. Keep up to date with the program.  
3. Everything happening in one place.","1. Provide updates on Marquette Basketball.  
2. Keep users informed about program happenings.",The Golden Eagles are proud to release the OFFICIAL app to give Marquette fans an unparalleled look at Marquette Basketball and keep up to date with everything happening in the program in one place!
13074,"1. Manage your experience anytime, anywhere.  
2. Find Tranquillity Leisure services easily.  
3. Book services with two taps.  
4. Provide latest details on services and products.  
5. Send notifications about news and updates.  
6. Create a personal profile.","1. Find and book Tranquillity Leisure services.  
2. Receive notifications about news and updates.  
3. View latest details on services and products.  
4. Create a personal profile.","Download the Tranquillity Leisure app to easily manage your experience - anytime, anywhere. Our app will allow you to easily find and seamlessly book Tranquillity Leisure services with just two taps!
This app will also provide you with the latest details on services and products as well as notifications about Tranquillity Leisure news and updates.
Get the most from the app by creating your own personal profile!"
13090,"1. fortune sticks  
2. tea readings","1. Fortune sticks  
2. Tea readings","For Google Daydream

Take a trip to a tranquil corner of contemplation, we have fortune sticks and tea readings with more to come..."
13229,"1. Wallpaper with sparking xmas tree of lights.  
2. Beautiful christmas tree created by particles and light.","1. Set 3D live Christmas wallpaper.  
2. Display a sparkling Christmas tree.  
3. Create a Christmas tree using particles and light.","Christmas 3D Live Wallpaper.
Wallpaper with sparking xmas tree of lights.
Beautiful christmas tree created by particles and light."
13293,"1. Build a line of three or more identical donuts.
2. Score points by matching sweets.
3. Clear rubble to free friends.
4. Complete specific list of goals at each level.
5. Tap sweets to crush and blast.","1. Build a line of three or more identical donuts.  
2. Score points by matching donuts.  
3. Clear rubble to rescue friends.  
4. Complete specific level goals.  
5. Tap items to crush and blast them.","Crazy Cake Swap Jam An exciting game of the series 3 in a row, with a variety of sweet treats.
Your job as usual is simple, you need to build a line of three or more identical donuts that would score points, the more you will type them the better. However, there is one difference, under some rubble sweets are your friends, you need to clear them, that would get his friends.
At each level you have specific list of goals that need to be completed. Tap them to make them crush and blast.

Crazy Cake Swap Jam Features:"
